Time,Membrane Potential
0.0,-62.0
0.025,-62.0
0.05,-62.0
0.075,-62.0
0.09999999999999999,-62.0
0.12499999999999999,-62.0
0.15,-62.0
0.17500000000000002,-62.0
0.20000000000000004,-62.0
0.22500000000000006,-62.0
0.25000000000000006,-62.0
0.2750000000000001,-62.0
0.3000000000000001,-62.0
0.3250000000000001,-62.0
0.35000000000000014,-62.0
0.37500000000000017,-62.0
0.4000000000000002,-62.0
0.4250000000000002,-62.0
0.45000000000000023,-62.0
0.47500000000000026,-62.0
0.5000000000000002,-62.0
0.5250000000000001,-62.0
0.55,-62.0
0.575,-62.0
0.5999999999999999,-62.0
0.6249999999999998,-62.0
0.6499999999999997,-62.0
0.6749999999999996,-62.0
0.6999999999999995,-62.0
0.7249999999999994,-62.0
0.7499999999999993,-62.0
0.7749999999999992,-62.0
0.7999999999999992,-62.0
0.8249999999999991,-62.0
0.849999999999999,-62.0
0.8749999999999989,-62.0
0.8999999999999988,-62.0
0.9249999999999987,-62.0
0.9499999999999986,-62.0
0.9749999999999985,-62.0
0.9999999999999984,-62.0
1.0249999999999984,-62.0
1.0499999999999983,-62.0
1.0749999999999982,-62.0
1.099999999999998,-62.0
1.124999999999998,-62.0
1.149999999999998,-62.0
1.1749999999999978,-62.0
1.1999999999999977,-62.0
1.2249999999999976,-62.0
1.2499999999999976,-62.0
1.2749999999999975,-62.0
1.2999999999999974,-62.0
1.3249999999999973,-62.0
1.3499999999999972,-62.0
1.3749999999999971,-62.0
1.399999999999997,-62.0
1.424999999999997,-62.0
1.4499999999999968,-62.0
1.4749999999999968,-62.0
1.4999999999999967,-62.0
1.5249999999999966,-62.0
1.5499999999999965,-62.0
1.5749999999999964,-62.0
1.5999999999999963,-62.0
1.6249999999999962,-62.0
1.6499999999999961,-62.0
1.674999999999996,-62.0
1.699999999999996,-62.0
1.7249999999999959,-62.0
1.7499999999999958,-62.0
1.7749999999999957,-62.0
1.7999999999999956,-62.0
1.8249999999999955,-62.0
1.8499999999999954,-62.0
1.8749999999999953,-62.0
1.8999999999999952,-62.0
1.9249999999999952,-62.0
1.949999999999995,-62.0
1.974999999999995,-62.0
1.999999999999995,-62.0
2.024999999999995,-62.0
2.0499999999999954,-62.0
2.0749999999999957,-62.0
2.099999999999996,-62.0
2.1249999999999964,-62.0
2.149999999999997,-62.0
2.174999999999997,-62.0
2.1999999999999975,-62.0
2.224999999999998,-62.0
2.2499999999999982,-62.0
2.2749999999999986,-62.0
2.299999999999999,-62.0
2.3249999999999993,-62.0
2.3499999999999996,-62.0
2.375,-62.0
2.4000000000000004,-62.0
2.4250000000000007,-62.0
2.450000000000001,-62.0
2.4750000000000014,-62.0
2.5000000000000018,-62.0
2.525000000000002,-62.0
2.5500000000000025,-62.0
2.575000000000003,-62.0
2.600000000000003,-62.0
2.6250000000000036,-62.0
2.650000000000004,-62.0
2.6750000000000043,-62.0
2.7000000000000046,-62.0
2.725000000000005,-62.0
2.7500000000000053,-62.0
2.7750000000000057,-62.0
2.800000000000006,-62.0
2.8250000000000064,-62.0
2.8500000000000068,-62.0
2.875000000000007,-62.0
