Time,VC0,D_CaL_sCaLm,D_CaL_sCaLh,D_CaL_vCaLm,D_CaL_vCaLh,D_CaL_tCaLh1,D_CaL_tCaLh2,D_CaL_gCaL,D_CaL_mCaL_inf,D_CaL_hCaL_inf,D_CaL_tauCaLm,D_CaL_tauCaLh,D_CaL_iCaL,D_CaL_mCaL,D_CaL_hCaL
1.0749999999999982,-61.52079596186729,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04100826195059298 ,0.9966791820259951 ,0.19269196841070935 ,53.76257547284488 ,-0.11710741951471994 ,0.043903906940365514 ,0.6737733185222448  
1.099999999999998,-61.52050812021759,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04100941447464185 ,0.9966789880263109 ,0.19269397234307434 ,53.762615781286264 ,-0.11502178490210543 ,0.04355171752617145 ,0.6739234370570891  
1.124999999999998,-61.52022481560274,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04101054650294445 ,0.9966787974706776 ,0.19269594061128176 ,53.76265537242026 ,-0.1132087775934627 ,0.0432425217057541 ,0.674073485602911  
1.149999999999998,-61.51994545778765,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04101166071713166 ,0.9966786099079904 ,0.1926978778792947 ,53.76269434005782 ,-0.11163162939208784 ,0.04297108527236983 ,0.6742234641954816  
1.1749999999999978,-61.519669535287434,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04101275943724859 ,0.9966784249479563 ,0.19269978818212818 ,53.76273276535939 ,-0.11025887154461209 ,0.04273281132895552 ,0.6743733728701453  
1.1999999999999977,-61.51939660419259,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04101384467385913 ,0.9966782422523333 ,0.19270167501649077 ,53.76277071865803 ,-0.10906350077258686 ,0.042523662677468654 ,0.6745232116618746  
1.2249999999999976,-61.51912627871897,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041014918171952845 ,0.9966780615275461 ,0.19270354141716384 ,53.7628082609957 ,-0.1080222900619435 ,0.04234009366200031 ,0.6746729806053172  
1.2499999999999976,-61.518858223189056,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04101598144807669 ,0.9966778825184444 ,0.19270539002159326 ,53.76284544542237 ,-0.10711521669750784 ,0.0421789903135797 ,0.674822679734837  
1.2749999999999975,-61.51859214520599,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041017035821843593 ,0.9966777050030021 ,0.192707223124699 ,53.76288231809853 ,-0.10632498564095659 ,0.0420376177851015 ,0.6749723090845486  
1.2999999999999974,-61.51832778982552,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04101808244275557 ,0.9966775287878091 ,0.1927090427255327 ,53.76291891923352 ,-0.10563663076147638 ,0.041913574188155826 ,0.6751218686883478  
1.3249999999999973,-61.51806493456607,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04101912231310609 ,0.9966773537042172 ,0.19271085056711507 ,53.76295528388695 ,-0.10503717990334607 ,0.04180475005182825 ,0.6752713585799376  
1.3499999999999972,-61.51780338512549,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04102015630758931 ,0.9966771796050439 ,0.19271264817054468 ,53.76299144265464 ,-0.1045153725188763 ,0.041709292718607155 ,0.6754207787928508  
1.3749999999999971,-61.51754297169562,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041021185190133105 ,0.9966770063617404 ,0.19271443686427647 ,53.76302742225757 ,-0.10406142076793443 ,0.041625575076005755 ,0.67557012936047  
1.399999999999997,-61.51728354578436,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041022209628382954 ,0.9966768338619559 ,0.19271621780931458 ,53.76306324604863 ,-0.10366680671049111 ,0.04155216809579359 ,0.6757194103160444  
1.424999999999997,-61.51702497746998,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04102323020619161 ,0.996676662007437 ,0.1927179920209361 ,53.763098934449495 ,-0.10332410959259439 ,0.04148781671708191 ,0.6758686216927047  
